wp_post_id,taxonomy,term_slug
4335,industry,kriptovalyutnye-tizernye-seti
4337,industry,kriptovalyutnye-partnerki
4337,industry,kriptovalyutnye-tizernye-seti
4339,industry,kriptovalyutnye-partnerki
4339,industry,kriptovalyutnye-tizernye-seti
4342,industry,essay-partnerki
4344,industry,essay-partnerki
4346,industry,essay-partnerki
4346,industry,obrazovatelnye-partnerki
4348,industry,essay-partnerki
4348,industry,obrazovatelnye-partnerki
4350,industry,essay-partnerki
4350,industry,obrazovatelnye-partnerki
4352,industry,cpa-partnerki
4352,industry,essay-partnerki
4352,industry,obrazovatelnye-partnerki
4354,industry,essay-partnerki
4354,industry,obrazovatelnye-partnerki
4356,industry,essay-partnerki
4356,industry,obrazovatelnye-partnerki
4358,industry,essay-partnerki
4358,industry,obrazovatelnye-partnerki
4360,industry,essay-partnerki
4360,industry,obrazovatelnye-partnerki
4365,industry,binarki
4367,industry,binarki
4369,industry,binarki
4372,industry,binarki
4374,industry,binarki
4376,industry,binarki
4380,industry,binarki
4383,industry,binarki
4385,industry,cpa-partnerki
4387,industry,binarki
4393,industry,cashback-partnerki
4395,industry,cpa-partnerki
4395,industry,nutra-partnerki
4397,industry,cpa-partnerki
4397,industry,nutra-partnerki
4397,industry,partnerskaya-programma-s-tovarkoj
4399,industry,cpa-partnerki
4399,industry,nutra-partnerki
4399,industry,partnerskaya-programma-s-tovarkoj
4401,industry,cpa-partnerki
4401,industry,betting
4401,industry,gembling-partnerki
4401,industry,dejting-partnerki
4401,industry,nutra-partnerki
4401,industry,partnerskaya-programma-s-tovarkoj
4403,industry,cpa-partnerki
4403,industry,nutra-partnerki
4403,industry,partnerskaya-programma-s-tovarkoj
4426,industry,push-reklamnye-seti
4430,industry,cpa-partnerki
4430,industry,igrovye-partnerki
4430,industry,mobilnye-cpa
4434,industry,cpa-partnerki
4434,industry,igrovye-partnerki
4434,industry,mobilnye-cpa
4528,industry,cpa-partnerki
4528,industry,teaser-networks
4528,industry,tizerski-klikander-i-popander
4532,industry,cpa-partnerki
4532,industry,teaser-networks
4532,industry,tizerski-klikander-i-popander
4536,industry,teaser-networks
4536,industry,tizerski-klikander-i-popander
4544,industry,teaser-networks
4544,industry,tizerski-klikander-i-popander
4547,industry,teaser-networks
4547,industry,tizerski-klikander-i-popander
4549,industry,teaser-networks
4549,industry,tizerski-klikander-i-popander
4551,industry,adalt-partnerki
4551,industry,adalt-tizerki
4551,industry,gembling-partnerki
4551,industry,nutra-partnerki
4551,industry,teaser-networks
4551,industry,tizerski-klikander-i-popander
4553,industry,teaser-networks
4553,industry,tizerski-klikander-i-popander
4555,industry,teaser-networks
4555,industry,tizerski-klikander-i-popander
4559,industry,cpa-partnerki
4559,industry,partnerskaya-programma-s-tovarkoj
4561,industry,cpa-partnerki
4561,industry,dejting-partnerki
4566,industry,cpa-partnerki
4566,industry,adalt-tizerki
4566,industry,betting
4566,industry,gembling-partnerki
4566,industry,dejting-partnerki
4566,industry,kriptovalyutnye-tizernye-seti
4566,industry,nutra-partnerki
4566,industry,travel
4568,industry,dejting-partnerki
4570,industry,cpa-partnerki
4570,industry,dejting-partnerki
4573,industry,dejting-partnerki
4575,industry,betting
4575,industry,gembling-partnerki
4575,industry,poker
4752,industry,cpa-partnerki
4752,industry,dejting-partnerki
4757,industry,push-reklamnye-seti
4780,industry,gembling-partnerki
4963,industry,betting
4963,industry,gembling-partnerki
4963,industry,igrovye-partnerki
4963,industry,poker
4982,industry,travel
5505,industry,cpa-partnerki
5505,industry,mobilnye-cpa
5505,industry,partnerskie-programmy-mikrozajmy
5518,industry,cpa-partnerki
5804,industry,obrazovatelnye-partnerki
5869,industry,cashback-partnerki
5869,industry,cpa-partnerki
5869,industry,finansovye-partnerki
6258,industry,cashback-partnerki
6258,industry,betting
6258,industry,igrovye-partnerki
6259,industry,betting
6259,industry,gembling-partnerki
6259,industry,igrovye-partnerki
6333,industry,cpa-partnerki
6333,industry,kriptovalyutnye-partnerki
6333,industry,foreks-partnerki
6488,industry,travel
6490,industry,travel
6492,industry,travel
6494,industry,travel
6496,industry,travel
6498,industry,travel
6500,industry,travel
6603,industry,dejting-partnerki
6616,industry,foreks-partnerki
6868,industry,cpa-partnerki
6868,industry,dejting-partnerki
7156,industry,dejting-partnerki
7156,industry,kriptovalyutnye-partnerki
7156,industry,smartlink-partnerki
7166,industry,push-reklamnye-seti
7183,industry,adalt-partnerki
7183,industry,dejting-partnerki
7183,industry,igrovye-partnerki
7248,industry,gembling-partnerki
7248,industry,igrovye-partnerki
7319,industry,nutra-partnerki
7319,industry,farma
7321,industry,nutra-partnerki
7321,industry,farma
7325,industry,nutra-partnerki
7325,industry,farma
7327,industry,nutra-partnerki
7327,industry,farma
7358,industry,betting
7358,industry,gembling-partnerki
7362,industry,cpa-partnerki
7362,industry,ppc-partnerki
7367,industry,ppc-partnerki
7369,industry,cpa-partnerki
7369,industry,ppc-partnerki
7371,industry,cpa-partnerki
7371,industry,ppc-partnerki
7373,industry,ppc-partnerki
7434,industry,infobiz-partnerki
7434,industry,nutra-partnerki
7434,industry,partnerskaya-programma-s-tovarkoj
7437,industry,infobiz-partnerki
7437,industry,nutra-partnerki
7437,industry,partnerskaya-programma-s-tovarkoj
7440,industry,infobiz-partnerki
7440,industry,obrazovatelnye-partnerki
7442,industry,infobiz-partnerki
7442,industry,obrazovatelnye-partnerki
7444,industry,cpa-partnerki
7444,industry,infobiz-partnerki
7448,industry,cpa-partnerki
7448,industry,infobiz-partnerki
7450,industry,infobiz-partnerki
7450,industry,obrazovatelnye-partnerki
7453,industry,infobiz-partnerki
7453,industry,obrazovatelnye-partnerki
7455,industry,infobiz-partnerki
7455,industry,obrazovatelnye-partnerki
7457,industry,infobiz-partnerki
7520,industry,gembling-partnerki
7520,industry,igrovye-partnerki
8109,industry,dejting-partnerki
8111,industry,dejting-partnerki
8174,industry,dejting-partnerki
8174,industry,smartlink-partnerki
8713,industry,trekery-dlya-arbitrazha
8715,industry,trekery-dlya-arbitrazha
8717,industry,trekery-dlya-arbitrazha
8719,industry,trekery-dlya-arbitrazha
8721,industry,trekery-dlya-arbitrazha
8723,industry,trekery-dlya-arbitrazha
8725,industry,trekery-dlya-arbitrazha
8727,industry,trekery-dlya-arbitrazha
8729,industry,trekery-dlya-arbitrazha
8731,industry,trekery-dlya-arbitrazha
8734,industry,trekery-dlya-arbitrazha
8738,industry,trekery-dlya-arbitrazha
8740,industry,trekery-dlya-arbitrazha
8742,industry,trekery-dlya-arbitrazha
8760,industry,sajty-znakomstv-s-referalnoj-programmoj
8761,industry,sajty-znakomstv-s-referalnoj-programmoj
8764,industry,sajty-znakomstv-s-referalnoj-programmoj
8766,industry,sajty-znakomstv-s-referalnoj-programmoj
8768,industry,sajty-znakomstv-s-referalnoj-programmoj
8770,industry,telegramm-kanaly-pro-arbitrazh-traffika
8772,industry,telegramm-kanaly-pro-arbitrazh-traffika
8775,industry,telegramm-kanaly-pro-arbitrazh-traffika
8777,industry,telegramm-kanaly-pro-arbitrazh-traffika
8779,industry,telegramm-kanaly-pro-arbitrazh-traffika
8781,industry,telegramm-kanaly-pro-arbitrazh-traffika
8783,industry,telegramm-kanaly-pro-arbitrazh-traffika
8785,industry,telegramm-kanaly-pro-arbitrazh-traffika
8787,industry,telegramm-kanaly-pro-arbitrazh-traffika
8789,industry,telegramm-kanaly-pro-arbitrazh-traffika
8792,industry,telegramm-kanaly-pro-arbitrazh-traffika
8794,industry,telegramm-kanaly-pro-arbitrazh-traffika
8797,industry,telegramm-kanaly-pro-arbitrazh-traffika
8800,industry,telegramm-kanaly-pro-arbitrazh-traffika
8803,industry,telegramm-kanaly-pro-arbitrazh-traffika
8807,industry,telegramm-kanaly-pro-arbitrazh-traffika
8809,industry,telegramm-kanaly-pro-arbitrazh-traffika
8811,industry,telegramm-kanaly-pro-arbitrazh-traffika
8813,industry,telegramm-kanaly-pro-arbitrazh-traffika
8815,industry,telegramm-kanaly-pro-arbitrazh-traffika
8817,industry,telegramm-kanaly-pro-arbitrazh-traffika
8819,industry,telegramm-kanaly-pro-arbitrazh-traffika
8821,industry,antidetekt-brauzery-na-ajfon
8821,industry,antidetekt-brauzery-na-android
8822,industry,antidetekt-brauzery-na-ajfon
8822,industry,antidetekt-brauzery-na-android
8823,industry,antidetekt-brauzery-na-ajfon
8823,industry,antidetekt-brauzery-na-android
8826,industry,antidetekt-brauzery-na-ajfon
8826,industry,antidetekt-brauzery-na-android
8828,industry,antidetekt-brauzery-na-ajfon
8828,industry,antidetekt-brauzery-na-android
8830,industry,antidetekt-brauzery-na-ajfon
8830,industry,antidetekt-brauzery-na-android
3898,industry,cpa-partnerki
3898,industry,finansovye-partnerki
8832,industry,antidetekt-brauzery-na-ajfon
8832,industry,antidetekt-brauzery-na-android
8834,industry,antidetekt-brauzery-na-ajfon
8834,industry,antidetekt-brauzery-na-android
8836,industry,antidetekt-brauzery-na-android
8838,industry,antidetekt-brauzery-na-ajfon
8838,industry,antidetekt-brauzery-na-android
8840,industry,partnerskie-programmy-mikrozajmy
8842,industry,betting
8842,industry,gembling-partnerki
8842,industry,dejting-partnerki
8842,industry,igrovye-partnerki
8842,industry,kriptovalyutnye-partnerki
8842,industry,nutra-partnerki
8842,industry,partnerskie-programmy-mikrozajmy
8842,industry,finansovye-partnerki
8844,industry,partnerskie-programmy-mikrozajmy
8844,industry,finansovye-partnerki
9157,industry,gembling-partnerki
9689,industry,betting
9689,industry,gembling-partnerki
9846,industry,push-reklamnye-seti
165,category,back-end
165,category,front-end
165,category,it-courses
165,category,java
165,category,javascript
165,category,python
165,city,vinnicza
165,city,dnepr
165,city,zaporozhe
165,city,ivano-frankovsk
165,city,kyiv
165,city,kremenchug
165,category,project-management
165,city,lviv
165,city,nikolaev
165,city,odesa
165,city,poltava
165,city,kharkiv
165,city,herson
165,category,programming-language
179,category,business-trainings
179,category,info-business
179,city,kyiv
184,category,business-trainings
184,city,kyiv
194,category,dot-net-development
194,category,devops
194,category,front-end
194,category,hr-kursy
194,category,it-courses
194,category,java
194,category,php-development
194,category,react-js
194,city,vinnicza
194,city,dnepr
194,city,zaporozhe
194,city,ivano-frankovsk
194,city,kyiv
194,city,kremenchug
194,category,courses
194,category,smm
194,category,business-analytics
194,category,web-design
194,category,data-science
194,city,lviv
194,city,nikolaev
194,city,odesa
194,city,poltava
194,category,testing
194,city,kharkiv
194,city,herson
194,category,programming-language
198,category,hr-kursy
198,category,it-courses
198,category,javascript
198,category,php-development
198,category,python
198,category,swift-ios-ipados
198,city,vinnicza
198,city,dnepr
198,city,zaporozhe
198,city,ivano-frankovsk
198,city,kyiv
198,city,kremenchug
198,category,smm
198,city,lviv
198,city,nikolaev
198,city,odesa
198,city,poltava
198,category,testing
198,city,kharkiv
198,city,herson
198,category,programming-language
201,category,dot-net-development
201,category,front-end
201,category,it-courses
201,category,php-development
201,category,ppc
201,category,react-js
201,category,swift-ios-ipados
201,category,acting
201,category,web-development
201,city,vinnicza
201,city,dnepr
201,city,zaporozhe
201,city,ivano-frankovsk
201,category,internet-marketing
201,city,kyiv
201,city,kremenchug
201,category,c-plus-plus
201,category,excel-courses
201,category,photoshop
201,category,business-analytics
201,category,kursy-oratorskogo-masterstva
201,category,data-science
201,category,project-management
201,category,kursy-psihologii
201,city,lviv
201,city,nikolaev
201,city,odesa
201,city,poltava
201,category,facebook-advertising
201,city,kharkiv
201,city,herson
201,category,programming-language
205,city,kyiv
210,city,kyiv
215,category,ppc
215,city,vinnicza
215,city,dnepr
215,city,zaporozhe
215,city,ivano-frankovsk
215,category,internet-marketing
215,city,kyiv
215,city,kremenchug
215,category,smm
215,city,lviv
215,city,nikolaev
215,city,odesa
215,city,poltava
215,city,kharkiv
215,city,herson
218,category,business-trainings
218,city,vinnicza
218,city,dnepr
218,city,zaporozhe
218,city,ivano-frankovsk
218,category,info-business
218,city,kyiv
218,city,kremenchug
218,category,courses
218,category,saling
218,city,lviv
218,city,nikolaev
218,city,odesa
218,city,poltava
218,city,kharkiv
218,city,herson
220,category,front-end
220,category,it-courses
220,city,vinnicza
220,city,dnepr
220,city,zaporozhe
220,city,ivano-frankovsk
220,city,kyiv
220,city,kremenchug
220,category,courses
220,category,smm
220,category,web-design
220,category,copywriting
220,city,lviv
220,city,nikolaev
220,city,odesa
220,city,poltava
220,city,kharkiv
220,city,herson
220,category,programming-language
222,category,ppc
222,category,python
222,city,vinnicza
222,city,dnepr
222,city,zaporozhe
222,city,ivano-frankovsk
222,city,kyiv
222,city,kremenchug
222,category,smm
222,city,lviv
222,city,nikolaev
222,city,odesa
222,city,poltava
222,category,seo-raskrutka
222,city,kharkiv
222,city,herson
222,category,programming-language
225,category,business-trainings
225,city,kyiv
227,category,business-trainings
227,city,kyiv
229,category,business-trainings
229,category,hr
229,city,lviv
231,category,business-trainings
231,city,kyiv
233,category,business-trainings
233,city,kharkiv
235,category,business-trainings
235,city,kyiv
237,category,business-trainings
237,city,kyiv
239,city,kyiv
241,category,dot-net-development
241,category,devops
241,category,front-end
241,category,it-courses
241,category,java
241,category,javascript
241,category,php-development
241,category,ppc
241,category,python
241,category,react-js
241,category,swift-ios-ipados
241,category,web-development
241,city,vinnicza
241,city,dnepr
241,city,zaporozhe
241,city,ivano-frankovsk
241,city,kyiv
241,city,kremenchug
241,category,c-plus-plus
241,category,excel-courses
241,category,smm
241,category,business-analytics
241,category,web-design
241,category,data-science
241,category,project-management
241,city,lviv
241,city,nikolaev
241,city,odesa
241,city,poltava
241,city,kharkiv
241,city,herson
241,category,programming-language
243,category,front-end
243,category,it-courses
243,category,web-development
243,city,vinnicza
243,category,interior-design
243,city,dnepr
243,city,zaporozhe
243,city,ivano-frankovsk
243,city,kyiv
243,city,kremenchug
243,category,photoshop
243,category,copywriting
243,city,lviv
243,city,nikolaev
243,city,odesa
243,city,poltava
243,city,kharkiv
243,city,herson
243,category,programming-language
245,category,front-end
245,category,it-courses
245,category,java
245,category,javascript
245,category,python
245,category,web-development
245,city,vinnicza
245,city,dnepr
245,city,zaporozhe
245,city,ivano-frankovsk
245,city,kyiv
245,city,kremenchug
245,category,sql
245,city,lviv
245,city,nikolaev
245,city,odesa
245,city,poltava
245,city,kharkiv
245,city,herson
245,category,programming-language
247,category,back-end
247,category,front-end
247,category,it-courses
247,category,java
247,category,python
247,category,web-development
247,city,vinnicza
247,city,dnepr
247,city,zaporozhe
247,city,ivano-frankovsk
247,city,kyiv
247,city,kremenchug
247,city,lviv
247,city,nikolaev
247,city,odesa
247,city,poltava
247,category,testing
247,city,kharkiv
247,city,herson
247,category,programming-language
249,category,front-end
249,category,it-courses
249,category,python
249,city,vinnicza
249,category,interior-design
249,city,dnepr
249,city,zaporozhe
249,city,ivano-frankovsk
249,city,kyiv
249,city,kremenchug
249,category,smm
249,category,business-analytics
249,category,web-design
249,city,lviv
249,city,nikolaev
249,city,odesa
249,city,poltava
249,city,kharkiv
249,city,herson
249,category,programming-language
253,category,back-end
253,category,front-end
253,category,hr-kursy
253,category,it-courses
253,category,java
253,category,javascript
253,category,python
253,category,web-development
253,city,vinnicza
253,city,dnepr
253,city,zaporozhe
253,city,ivano-frankovsk
253,city,kyiv
253,category,kompyuternye-kursy
253,city,kremenchug
253,category,smm
253,category,business-analytics
253,category,web-design
253,category,project-management
253,city,lviv
253,city,nikolaev
253,city,odesa
253,city,poltava
253,category,testing
253,city,kharkiv
253,city,herson
253,category,programming-language
255,category,java
255,category,javascript
255,category,python
255,category,web-development
255,city,vinnicza
255,city,dnepr
255,city,zaporozhe
255,city,ivano-frankovsk
255,city,kyiv
255,city,kremenchug
255,city,lviv
255,city,nikolaev
255,city,odesa
255,city,poltava
255,category,testing
255,city,kharkiv
255,city,herson
255,category,programming-language
259,category,front-end
259,category,hr-kursy
259,category,it-courses
259,category,javascript
259,category,php-development
259,category,react-js
259,category,web-development
259,city,vinnicza
259,city,dnepr
259,city,zaporozhe
259,city,ivano-frankovsk
259,category,internet-marketing
259,city,kyiv
259,category,kompyuternye-kursy
259,city,kremenchug
259,category,smm
259,category,sql
259,category,web-design
259,category,hr
259,city,lviv
259,category,marketing
259,city,nikolaev
259,city,odesa
259,city,poltava
259,category,facebook-advertising
259,category,testing
259,city,kharkiv
259,city,herson
259,category,programming-language
261,city,vinnicza
261,city,dnepr
261,city,zaporozhe
261,city,ivano-frankovsk
261,city,kyiv
261,city,kremenchug
261,category,smm
261,category,web-design
261,city,lviv
261,city,nikolaev
261,city,odesa
261,city,poltava
261,city,kharkiv
261,city,herson
263,city,vinnicza
263,city,dnepr
263,city,zaporozhe
263,city,ivano-frankovsk
263,category,internet-marketing
263,city,kyiv
263,city,kremenchug
263,category,smm
263,category,web-design
263,category,copywriting
263,city,lviv
263,category,marketing
263,city,nikolaev
263,city,odesa
263,city,poltava
263,city,kharkiv
263,city,herson
265,category,it-courses
265,city,kyiv
267,category,front-end
267,category,it-courses
267,category,web-development
267,category,web-design
267,city,kharkiv
269,category,dot-net-development
269,category,front-end
269,category,hr-kursy
269,category,ppc
269,category,python
269,category,web-development
269,city,vinnicza
269,category,interior-design
269,city,dnepr
269,city,zaporozhe
269,city,ivano-frankovsk
269,category,internet-marketing
269,city,kyiv
269,city,kremenchug
269,category,c-plus-plus
269,category,excel-courses
269,category,photoshop
269,category,kursy-buhgalterov
269,category,web-design
269,category,kursy-massazha
269,category,kursy-parikmahera
269,category,saling
269,category,cennie-bumagi
269,category,kursy-psihologii
269,category,hr
269,city,lviv
269,city,nikolaev
269,city,odesa
269,city,poltava
269,city,kharkiv
269,city,herson
269,category,programming-language
275,category,back-end
275,category,devops
275,category,front-end
275,category,it-courses
275,category,javascript
275,category,python
275,category,swift-ios-ipados
275,category,web-development
275,city,vinnicza
275,city,dnepr
275,city,zaporozhe
275,city,ivano-frankovsk
275,category,internet-marketing
275,city,kyiv
275,city,kremenchug
275,category,soft-skills
275,category,business-analytics
275,category,web-design
275,category,project-management
275,city,lviv
275,city,nikolaev
275,city,odesa
275,city,poltava
275,category,testing
275,city,kharkiv
275,city,herson
275,category,programming-language
278,category,business-trainings
278,city,vinnicza
278,city,dnepr
278,city,zaporozhe
278,city,ivano-frankovsk
278,city,kyiv
278,city,kremenchug
278,category,smm
278,category,soft-skills
278,city,lviv
278,category,marketing
278,city,nikolaev
278,city,odesa
278,city,poltava
278,category,facebook-advertising
278,city,kharkiv
278,city,herson
282,category,front-end
282,category,it-courses
282,city,vinnicza
282,city,dnepr
282,city,zaporozhe
282,city,ivano-frankovsk
282,category,internet-marketing
282,city,kyiv
282,city,kremenchug
282,category,business-analytics
282,category,web-design
282,city,lviv
282,city,nikolaev
282,city,odesa
282,city,poltava
282,city,kharkiv
282,city,herson
282,category,programming-language
287,category,it-courses
287,city,kyiv
287,category,testing
289,category,it-courses
289,city,ivano-frankovsk
292,category,it-courses
292,city,kyiv
296,category,it-courses
296,city,dnepr
303,city,lviv
307,category,it-courses
307,category,ppc
307,city,vinnicza
307,city,dnepr
307,city,zaporozhe
307,city,ivano-frankovsk
307,category,internet-marketing
307,city,kyiv
307,city,kremenchug
307,category,smm
307,city,lviv
307,city,nikolaev
307,city,odesa
307,city,poltava
307,city,kharkiv
307,city,herson
309,category,back-end
309,category,front-end
309,category,it-courses
309,category,java
309,category,javascript
309,category,python
309,category,react-js
309,category,web-development
309,city,vinnicza
309,city,dnepr
309,city,zaporozhe
309,city,ivano-frankovsk
309,city,kyiv
309,category,kompyuternye-kursy
309,city,kremenchug
309,category,c-plus-plus
309,category,sql
309,category,data-science
309,city,lviv
309,city,nikolaev
309,city,odesa
309,city,poltava
309,city,kharkiv
309,city,herson
309,category,programming-language
311,category,back-end
311,category,dot-net-development
311,category,front-end
311,category,it-courses
311,category,java
311,category,javascript
311,category,php-development
311,city,vinnicza
311,city,dnepr
311,city,zaporozhe
311,city,ivano-frankovsk
311,city,kyiv
311,city,kremenchug
311,category,smm
311,category,business-analytics
311,category,web-design
311,city,lviv
311,city,nikolaev
311,city,odesa
311,city,poltava
311,category,testing
311,city,kharkiv
311,city,herson
311,category,programming-language
313,category,front-end
313,category,it-courses
313,category,java
313,category,php-development
313,category,ppc
313,category,python
313,city,vinnicza
313,city,dnepr
313,city,zaporozhe
313,city,ivano-frankovsk
313,category,internet-marketing
313,city,kyiv
313,city,kremenchug
313,category,excel-courses
313,category,hr
313,city,lviv
313,category,marketing
313,city,nikolaev
313,city,odesa
313,city,poltava
313,city,kharkiv
313,city,herson
313,category,programming-language
315,category,front-end
315,category,it-courses
315,city,kyiv
315,category,testing
315,category,programming-language
317,category,dot-net-development
317,category,front-end
317,category,it-courses
317,category,java
317,category,javascript
317,category,php-development
317,category,swift-ios-ipados
317,city,vinnicza
317,city,dnepr
317,city,zaporozhe
317,city,ivano-frankovsk
317,city,kyiv
317,city,kremenchug
317,city,lviv
317,city,nikolaev
317,city,odesa
317,city,poltava
317,city,kharkiv
317,city,herson
317,category,programming-language
320,category,front-end
320,city,kyiv
325,city,vinnicza
325,city,dnepr
325,city,zaporozhe
325,city,ivano-frankovsk
325,city,kyiv
325,city,kremenchug
325,category,smm
325,city,lviv
325,city,nikolaev
325,city,odesa
325,city,poltava
325,city,kharkiv
325,city,herson
327,city,vinnicza
327,city,dnepr
