taxonomy,slug,name,parent_slug
section,virobnicztvo-inshih-metalevih-bakiv-rezervuariv-ta-kontejneriv,"Виробництво інших металевих баків, резервуарів та контейнерів",
section,virobnicztvo-inshih-osnovnih-neorganichnih-himichnih-rechovin,Виробництво інших основних неорганічних хімічних речовин,
section,virobnicztvo-inshih-osnovnih-organichnih-himichnih-rechovin,Виробництво інших основних органічних хімічних речовин,
section,virobnicztvo-inshogo-verhnogo-odyagu,Виробництво іншого верхнього одягу,
section,virobnicztvo-inshogo-elektroobladnannya,Виробництво іншого електрообладнання,
section,virobnicztvo-inshogo-trikotazhnogo-ta-vyazanogo-odyagu,Виробництво іншого трикотажного та в’язаного одягу,
section,virobnicztvo-inshoyi-produkcziyi,Виробництво іншої продукції,
section,virobnicztvo-kakao-shokoladu-ta-czukrovih-konditerskih-virobiv,"Виробництво какао, шоколаду та цукрових кондитерських виробів",
section,virobnicztvo-kanativ-motuzok-shpagatu-ta-sitok,"Виробництво канатів, мотузок, шпагату та сіток",
section,virobnicztvo-keramichnih-virobiv,Виробництво керамічних виробів,
section,virobnicztvo-keramichnih-virobiv-tehnichnogo-priznachennya,Виробництво керамічних виробів технічного призначення,
section,virobnicztvo-keramichnih-izolyatoriv-ta-izolyaczijnoyi-armaturi,Виробництво керамічних ізоляторів та ізоляційної арматури,
section,virobnicztvo-keramichnih-plitok-ta-plit,Виробництво керамічних плиток та плит,
section,virobnicztvo-keramichnih-sanitarno-tehnichnih-virobiv,Виробництво керамічних санітарно-технічних виробів,
section,virobnicztvo-kilimiv-ta-kilimovih-virobiv,Виробництво килимів та килимових виробів,
section,virobnicztvo-kino-ta-videofilmiv-televizijnih-program,"Виробництво кіно- та відеофільмів, телевізійних програм",
section,virobnicztvo-kleyiv,Виробництво клеїв,
section,virobnicztvo-koksu-i-koksoproduktiv,Виробництво коксу і коксопродуктів,
section,virobnicztvo-kompyuteriv-i-periferijnogo-obladnannya,Виробництво комп’ютерів і периферійного обладнання,
section,virobnicztvo-kraniv-i-klapaniv,Виробництво кранів і клапанів,
section,virobnicztvo-kripilnih-i-gvintonariznih-virobiv,Виробництво кріпильних і гвинтонарізних виробів,
section,virobnicztvo-krohmalyu-ta-krohmalnih-produktiv,Виробництво крохмалю та крохмальних продуктів,
section,virobnicztvo-kuzoviv-dlya-avtotransportnih-zasobiv-prichepiv-i-napivprichepiv,"Виробництво кузовів для автотранспортних засобів, причепів і напівпричепів",
section,virobnicztvo-kuhonnih-mebliv,Виробництво кухонних меблів,
section,virobnicztvo-legkih-metalevih-upakovok,Виробництво легких металевих упаковок,
section,virobnicztvo-listovogo-skla,Виробництво листового скла,
section,virobnicztvo-myasa,Виробництво м’яса,
section,virobnicztvo-myasa-svijskoyi-pticzi,Виробництво м’яса свійської птиці,
section,virobnicztvo-myasnih-produktiv,Виробництво м’ясних продуктів,
section,virobnicztvo-makaronnih-virobiv-i-podibnih-boroshnyanih-virobiv,Виробництво макаронних виробів і подібних борошняних виробів,
section,virobnicztvo-margarinu-ta-podibnih-harchovih-zhiriv,Виробництво маргарину та подібних харчових жирів,
section,virobnicztvo-matracziv,Виробництво матраців,
section,virobnicztvo-mashin-ta-ustatkovannya-dlya-vigotovlennya-tekstilnih-i-shkiryanih-virobiv,Виробництво машин та устатковання для виготовлення текстильних і шкіряних виробів,
section,virobnicztvo-mashin-ta-ustatkovannya-dlya-vigotovlennya-harchovih-produktiv,Виробництво машин та устатковання для виготовлення харчових продуктів,
section,virobnicztvo-mashin-ta-ustatkovannya-dlya-silskogo-ta-lisovogo-gospodarstva,Виробництво машин та устатковання для сільського та лісового господарства,
section,virobnicztvo-mashin-ta-ustatkovannya-zagalnogo-priznachennya,Виробництво машин та устатковання загального призначення,
section,virobnicztvo-mashin-ta-ustatkuvannya-dlya-vigotovlennya-paperu-ta-kartonu,Виробництво машин та устаткування для виготовлення паперу та картону,
section,virobnicztvo-mashin-ta-ustatkuvannya-dlya-vigotovlennya-plastmas-i-gumi,Виробництво машин та устаткування для виготовлення пластмас і гуми,
section,virobnicztvo-mashin-ta-ustatkuvannya-dlya-dobuvnoyi-promislovosti-ta-budivnicztva,Виробництво машин та устаткування для добувної промисловості та будівництва,
section,virobnicztvo-mashin-ta-ustatkuvannya-dlya-metalurgiyi,Виробництво машин та устаткування для металургії,
section,virobnicztvo-mashin-ta-ustatkuvannya-speczialnogo-priznachennya,Виробництво машин та устаткування спеціального призначення,
section,virobnicztvo-mebliv-dlya-ofisiv-ta-pidpriєmstv-torgivli,Виробництво меблів для офісів та підприємств торгівлі,
section,virobnicztvo-medichnih-i-stomatologichnih-instrumentiv-i-materialiv,Виробництво медичних і стоматологічних інструментів і матеріалів,
section,virobnicztvo-metalevih-dverej-i-vikon,Виробництво металевих дверей і вікон,
section,virobnicztvo-metaloobrobnih-mashin,Виробництво металообробних машин,
section,virobnicztvo-mila-ta-miyuchih-zasobiv-zasobiv-dlya-chishhennya-ta-poliruvannya,"Виробництво мила та миючих засобів, засобів для чищення та полірування",
section,virobnicztvo-midi,Виробництво міді,
section,virobnicztvo-mitel-ta-shhitok,Виробництво мітел та щіток,
section,virobnicztvo-moroziva,Виробництво морозива,
section,virobnicztvo-motoczikliv,Виробництво мотоциклів,
section,virobnicztvo-nasosiv-i-kompresoriv,Виробництво насосів і компресорів,
section,virobnicztvo-nedistilovanih-napoyiv-iz-zbrodzhuvanih-produktiv,Виробництво недистильованих напоїв із зброджуваних продуктів,
section,virobnicztvo-neelektrichnih-pobutovih-priladiv,Виробництво неелектричних побутових приладів,
section,virobnicztvo-netkanih-tekstilnih-materialiv-ta-virobiv-z-nih,Виробництво нетканих текстильних матеріалів та виробів з них,
section,virobnicztvo-obladnannya-zvyazku,Виробництво обладнання зв’язку,
section,virobnicztvo-odyagu-zi-shkiri,Виробництво одягу зі шкіри,
section,virobnicztvo-oliyi-ta-tvarinnih-zhiriv,Виробництво олії та тваринних жирів,
section,virobnicztvo-optichnih-priladiv-ta-fotografichnogo-ustatkuvannya,Виробництво оптичних приладів та фотографічного устаткування,
section,virobnicztvo-osnovnih-farmaczevtichnih-produktiv,Виробництво основних фармацевтичних продуктів,
section,virobnicztvo-panchishno-shkarpetkovih-virobiv,Виробництво панчішно-шкарпеткових виробів,
section,virobnicztvo-paperovih-virobiv-gospodarsko-pobutovogo-ta-sanitarno-gigiєnichnogo-priznachennya,Виробництво паперових виробів господарсько-побутового та санітарно-гігієнічного призначення,
section,virobnicztvo-paperovih-kanczelyarskih-virobiv,Виробництво паперових канцелярських виробів,
section,virobnicztvo-paperovoyi-masi,Виробництво паперової маси,
section,virobnicztvo-paperu-ta-kartonu,Виробництво паперу та картону,
section,virobnicztvo-parovih-kotliv-krim-kotliv-czentralnogo-opalennya,"Виробництво парових котлів, крім котлів центрального опалення",
section,virobnicztvo-parfumernih-ta-kosmetichnih-zasobiv,Виробництво парфумерних та косметичних засобів,
section,virobnicztvo-pesticzidiv-ta-inshoyi-agrohimichnoyi-produkcziyi,Виробництво пестицидів та іншої агрохімічної продукції,
section,virobnicztvo-pechej-ta-pichnih-palnikiv,Виробництво печей та пічних пальників,
section,virobnicztvo-piva,Виробництво пива,
section,virobnicztvo-pidijmalnogo-ta-vantazhno-rozvantazhuvalnogo-obladnannya,Виробництво підіймального та вантажно-розвантажувального обладнання,
section,virobnicztvo-plastmas-u-pervinnih-formah,Виробництво пластмас у первинних формах,
section,virobnicztvo-plit-listiv-trub-i-profiliv-z-plastmasi,"Виробництво плит, листів, труб і профілів з пластмаси",
section,virobnicztvo-povitryanih-i-kosmichnih-litalnih-aparativ,Виробництво повітряних і космічних літальних апаратів,
section,virobnicztvo-pologo-skla,Виробництво полого скла,
section,virobnicztvo-produktiv-boroshnomelno-krupyanoyi-promislovosti,Виробництво продуктів борошномельно-круп’яної промисловості,
section,virobnicztvo-produktiv-naftopererobki,Виробництво продуктів нафтопереробки,
section,virobnicztvo-promislovih-gaziv,Виробництво промислових газів,
section,virobnicztvo-promislovogo-holodilnogo-ta-ventilyaczijnogo-ustatkuvannya,Виробництво промислового холодильного та вентиляційного устаткування,
section,virobnicztvo-pryanoshhiv-ta-priprav,Виробництво прянощів та приправ,
section,virobnicztvo-radiatoriv-ta-kotliv-czentralnogo-opalennya,Виробництво радіаторів та котлів центрального опалення,
section,virobnicztvo-radiologichnogo-elektromedichnogo-i-elektroterapevtichnogo-obladnannya,"Виробництво радіологічного, електромедичного і електротерапевтичного обладнання",
section,virobnicztvo-riznih-nemetalevih-mineralnih-virobiv,Виробництво різних неметалевих мінеральних виробів,
section,virobnicztvo-robochogo-odyagu,Виробництво робочого одягу,
section,virobnicztvo-ruchnih-elektromehanichnih-i-pnevmatichnih-instrumentiv,Виробництво ручних електромеханічних і пневматичних інструментів,
section,virobnicztvo-svinczyu-czinku-ta-olova,"Виробництво свинцю, цинку та олова",
section,virobnicztvo-sidru-ta-inshih-plodovo-yagidnih-vin,Виробництво сидру та інших плодово-ягідних вин,
section,virobnicztvo-sintetichnogo-kauchuku-v-pervinnih-formah,Виробництво синтетичного каучуку в первинних формах,
section,virobnicztvo-sklovolokna,Виробництво скловолокна,
section,virobnicztvo-solodu,Виробництво солоду,
section,virobnicztvo-spidnogo-odyagu,Виробництво спіднього одягу,
section,virobnicztvo-sportivnih-tovariv,Виробництво спортивних товарів,
section,virobnicztvo-stalevih-bochok-i-podibnih-kontejneriv,Виробництво сталевих бочок і подібних контейнерів,
section,virobnicztvo-stolovih-priboriv,Виробництво столових приборів,
section,virobnicztvo-suhariv-i-suhogo-pechiva-trivalogo-zberigannya,Виробництво сухарів і сухого печива тривалого зберігання,
section,virobnicztvo-suhih-budivelnih-sumishej,Виробництво сухих будівельних сумішей,
section,virobnicztvo-ta-obroblennya-inshih-sklyanih-virobiv,Виробництво та оброблення інших скляних виробів,
section,virobnicztvo-tari-z-plastmas,Виробництво тари з пластмас,
section,virobnicztvo-tekstilnih-virobiv,Виробництво текстильних виробів,
section,virobnicztvo-tekstilnih-virobiv-tehnichnogo-ta-promislovogo-priznachennya,Виробництво текстильних виробів технічного та промислового призначення,
section,virobnicztvo-transportnih-zasobiv-ta-ustatkuvannya,Виробництво транспортних засобів та устаткування,
section,virobnicztvo-trikotazhnogo-polotna,Виробництво трикотажного полотна,
section,virobnicztvo-trub-porozhnistih-profiliv-i-fitingiv-zi-stali,"Виробництво труб, порожнистих профілів і фітингів зі сталі",
section,virobnicztvo-tyutyunovih-virobiv,Виробництво тютюнових виробів,
section,virobnicztvo-faneri-derevnih-plit-i-panelej,"Виробництво фанери, деревних плит і панелей",
section,virobnicztvo-farb-lakiv-i-podibnoyi-produkcziyi-drukarskoyi-farbi-ta-mastik,"Виробництво фарб, лаків і подібної продукції, друкарської фарби та мастик",
section,virobnicztvo-farmaczevtichnih-preparativ,Виробництво фармацевтичних препаратів,
section,virobnicztvo-fruktovih-ta-ovochevih-sokiv,Виробництво фруктових та овочевих соків,
section,virobnicztvo-harchovih-produktiv,Виробництво харчових продуктів,
section,virobnicztvo-himichnoyi-produkcziyi,Виробництво хімічної продукції,
section,virobnicztvo-hliba-ta-hlibobulochnih-virobiv-netrivalogo-zberigannya,Виробництво хліба та хлібобулочних виробів нетривалого зберігання,
section,virobnicztvo-czegli-cherepiczi-ta-inshih-budivelnih-virobiv,"Виробництво цегли, черепиці та інших будівельних виробів",
section,virobnicztvo-czementu,Виробництво цементу,
section,virobnicztvo-czukru,Виробництво цукру,
section,virobnicztvo-chavunu-stali-ta-ferosplaviv,"Виробництво чавуну, сталі та феросплавів",
section,virobnicztvo-chayu-ta-kavi,Виробництво чаю та кави,
section,virobnicztvo-shpaler,Виробництво шпалер,
section,virobnicztvo-shtuchnih-ta-sintetichnih-volokon,Виробництво штучних та синтетичних волокон,
section,virobnicztvo-shhitovogo-parketu,Виробництво щитового паркету,
section,virobnicztvo-yuvelirnih-ta-analogichnih-virobiv,Виробництво ювелірних та аналогічних виробів,
section,virobnicztvo-yadernih-materialiv,Виробництво ядерних матеріалів,
section,virobnicztvo-garyachoyi-vodi-i-kondiczijovane-povitrya,"Виробництво, гарячої води і кондиційоване повітря",
section,viroshhuvannya-vinogradu,вирощування винограду,
section,viroshhuvannya-zernyatkovih-i-kistochkovih-fruktiv,Вирощування зерняткових і кісточкових фруктів,
section,viroshhuvannya-inshih-bagatorichnih-kultur,Вирощування інших багаторічних культур,
section,viroshhuvannya-konopel-kultur,Вирощування конопель культур,
section,viroshhuvannya-kultur-dlya-virobnicztva-napoyiv,Вирощування культур для виробництва напоїв,
section,viroshhuvannya-ovochiv-i-bashtannih-kultur,Вирощування овочів і баштанних культур,
section,viroshhuvannya-odnorichnih-i-dvorichnih-kultur,Вирощування однорічних і дворічних культур,
section,viroshhuvannya-olijnih-plodiv,Вирощування олійних плодів,
section,viroshhuvannya-pryanih-aromatichnih-i-likarskih-kultur,"Вирощування пряних, ароматичних і лікарських культур",
section,viroshhuvannya-risu,Вирощування рису,
section,viroshhuvannya-tropichnih-i-subtropichnih-fruktiv,Вирощування тропічних і субтропічних фруктів,
section,viroshhuvannya-tyutyunu,Вирощування тютюну,
section,viroshhuvannya-czitrusovih,Вирощування цитрусових,
section,viroshhuvannya-czukrovoyi-trostini,Вирощування цукрової тростини,
section,viroshhuvannya-yagid-gorihiv-ta-inshih-fruktiv,"Вирощування ягід, горіхів та інших фруктів",
section,vichinka-ta-farbuvannya-hutra,вичинка та фарбування хутра,
section,vishha-osvita,Вища освіта,
section,vidnovlennya-vidsortovanih-vidhodiv,Відновлення відсортованих відходів,
section,vidtvorennya-roslin,Відтворення рослин,
city,vinniczka-obl-barskij-r-n-m-bar,"Вінницька обл., Барський р-н, м. Бар",
city,vinniczka-obl-bershadskij-r-n-m-bershad,"Вінницька обл., Бершадський р-н, м. Бершадь",
city,vinniczka-obl-vinniczkij-r-n-m-gnivan,"Вінницька обл., Вінницький р-н, м. Гнівань",
city,vinniczka-obl-vinniczkij-r-n-m-illinczi,"Вінницька обл., Вінницький р-н, м. Іллінці",
