wp_post_id,address
245,"Киев, ул. Евгения Сверстюка 19, 5 этаж, офис 502. станция метро ""Левобережная""."
247,ул. Паньковская 6Б  (7 мин ходьбы от метро  Льва Толстого или Университет)
247,"ул. Жилянская 5  (300 метров от м. Олимпийская,  Data-Hub)"
247,"ул. Саксаганского 120  (10 минут от м. Университет  или Вокзальная, Bibliotech)"
247,ул. Жилянская 146  (10 минут от м. Университет  или Вокзальная)
247,"ул. Вадима Гетьмана 1А  (через дорогу от м. Шулявская,  Конференц-центр ""ExitGames"")"
247,ул. Николая Шпака 3  (5 мин ходьбы от метро Берестейская)
249,"вулиця Жилянська, 128/28, Київ, 02000"
253,"Киев, бул. Леси  Украинки 26"
255,"г. Киев, просп. Космонавта Комарова, 1, НАУ, корп. 11, офис 112 а"
259,"г. Харьков пер.Театральный, д.4, 3 этаж"
261,"Киев, Projector (ул. Кожемяцкая, 10)"
263,"Киев  ул. Дмитриевская, 80"
265,"Київ, вул. Золотоустівська, 34, офіс 286 (ліфт)"
267,"г. Харьков, ул. Сумская, 2, (""Пузата Хата""), 1 подъезд, 3 этаж, офис 3 ст. метро ""Исторический музей"""
278," 02000, г. Киев, ул. Паньковская, 14, 3 этаж."
282,"г. Киев, пр-т Павла Тычины, 1в, ТОЦ «Silver Breeze», офис А, 6-й этаж"
287,"вул. Дорогожицька, 3, м. Київ, Україна (вхід на територію біля вул. Дорогожицька, 1)"
289,Євгена Коновальця 35  Ивано-Франковск
292,"вул. Садова, 2д м. Львів, Україна 79021"
296,"г. Днепр Центр: ул. Троицкая, 21Г, ТСК «Новый металлург», 3 эт., приемная 346"
303,м. Львів вул. Ярослава Стецька 3а
307,+38 067 226 84 22
307,sv@web-promo.ua
311,"Киев, ул. Вадима Гетьмана, 1-А"
313,"г. Киев, ул. Сверстюка, 19"
313,"г. Киев, ул. Борисоглебская, 15г"
313,"г. Киев, ул. Чистяковская, 2а"
313,"г. Киев, пр. В. Лобановского, 119"
313,"г. Киев, бул. Л.Украинки, 34"
315,"Киев, ул. Саксаганского, 121"
317,"г. Киев, улица Саперно-Слободская, 22"
320,"ст.м. Почтовая площадь ул. Боричев Ток, дом 3, 2 этаж, офис 2"
320,"ст.м. Левобережная ул. Евгения Сверстюка (Марины Расковой) 19, оф 816, 8 этаж"
320,"ст.м. Университет ул. Б. Хмельницького 51, Б, 5й этаж"
325,"м. Київ. вул. Воздвиженська, 54. 8-ий поверх."
327,(044) 22-26-345
330,"Киев, ул. Старокиевская, 10Г Бизнес центр ""Vector"""
332,г. Киев переулок Ковальский 13 офис 2
341,+38 (063) 511 91 27
341,+38 (066) 773 95 10
343,"Киев, Лукьяновский переулок, 6"
345,"г. Киев ул. Голосеевская 17 (м. Голосеевская), БЦ «Морион», 8 этаж"
345,"ул. И.Кудри 33 (м. Дружбы Народов), ТНУ"
427,https://im.uamaster.com/contextual-adv
431,http://empo.pro/
469,"Dovzhenko 3, Киев, 03057"
2090,"Адрес: Новая Зеландия: Веллингтон 6011, Уиллис-стрит 88/100."
2126,"адрес: oshua Complex, P.O. VC0280, Arnos Vale, WINDWARD, St. Vincent and The Grenadines"
2164,"Address: 8 Copthall, Roseau Valley, 00152 Commonwealth of Dominica"
2223,"Главный офис: Arcknit Holdings Limited 12 Chrysanthou Mylona, Harmonia Building, Block 1, 1st Floor, Office 15, 3030 Limassol, Cyprus"
2225,Главный офис: Сейшельские острова
2227,Адрес: Нью-Йорк/Пекин
2231,"Адрес: Streami, Inc. 7th floor, 704, Yeongdong-daero, Gangnam-gu, Seoul, Republic of Korea"
2231,"Адрес: Rm 1403 Wan Chai Commercial Centre 194-204 Johnston Road, Wan Chai"
2231,"Адрес: 16192 Coastal Highway Lewes, Delaware 19958"
2235,адрес: США
2249,"адрес: Corso di Porta Romana 61 20122 Milan, Italy"
2251,Япония
2254,адрес: Эстония
2256,адрес: Снгапур
2260,"531A UPPER CROSS STREET #04-95, HONG LIM COMPLEX SINGAPORE (051531)"
2262,адрес: Вануату
2264,адрес: Австралия. Сидней
2266,адрес: Латвия.Таллин
2269,адрес: Республика Сейшельские острова
2273,"адрес: Лондоне, Великобритания"
2275,адрес: Англия. Бирмингем
2278,"Адрес регистрации Partida Services OÜ Регистрационный номер 14572266, Laki 30, 12915, Tallinn"
2278,"Главный офис PARTIDA TECHNOLOGIES LLP • Company number OC427053 • 3rd Floor, 120 Baker Street, London, England, W1U 6TU"
2282,"Главный офис: Prievozská 4D, 82 109 Bratislava, Slovakia"
2284,Главный офис: Швейцария
2286,Главный офис: Китай. Гонконг
2288,"адрес: 150-0044 12F, 3-6 E Stasta, Shibuya-ku, Toyamacho, Tokyo"
2290,Китай
2292,Сингапур
2297,США
2298,"Главный офис: США, 600 Third Avenue, 2nd Floor, New York, NY 10016"
2300,"Место регистрации: Fortis Ltd. Suite 305, Griffith Corporate Centre, PO BOX 1510, Beachmont, Kingstown, Saint Vincent and the Grenadines"
2302,"Business Address: 2300 W Sahara Avenue, Suite 400, Las Vegas, NV 89102"
2302,"Business Address: 71-75 Shelton Street Covent Garden, London WC2H 9JQ"
2302,"Business Address: Asula 3-26, Tallinn, Estonia, 11312"
2304,"Адрес: Unit 19, 7/F., One Midtown No.11 Hoi Shing Road, Tsuen Wan, New Territories, Hong Kong"
2306,КНР /Остров Самоа
2308,"Юридический адрес Bitexbook: CEDAR HILL CREST, VILLA, KINGSTOWN, ST.VINCENT AND GRENADINES P. O. BOX 1825."
2310,Китай
2313,"Hinds Building, Kingstown, St. Vincent and the Grenadines Company No. 312 LLC 2020"
2313,"Suite 15, 1st Floor Oliaji Trade Centre, Francis Rachel Street, P.O Box 1004, Victoria, Mahé, Seychelles"
2319,"Secretary office:  6/F Yen Sheng Centre 64 Hoi Yuen Road Kwun Tong, Hong Kong"
2324,"Главный офис: Sepise tn 1 Lasnamäe linnaosa, Tallinn Harju maakond 11415"
2326,Сент-Винсент и Гренадины
2328,"юридический адрес — Пярну мнт 158, Таллинн, 11317, Эстония."
2332,США
2337,"Торговый центр Grand Pavilion, Oleander Way, 802 West Bay Road, P.O. Box 32052, Большой Кайман KY1-1208 Каймановы острова"
2339,"Юридический адрес у нас в Лондоне, 7 Bell Yard, WC2A 2JR"
2339,"04071, Украина, г. Киев, ул. Верхний Вал, д. 10"
2859,Cayman Islands
2861,"Av Vitacura 2969,  Las Condes,  Región Metropolitana, Chile"
2861,"Hit Tech Solutions Development Ltd. Suite 15, Oliaji Trade Centre, Francis Rachel Street, Victoria, Mahe, Seychelles"
2864,Office Amsterdam Bitonic B.V. Weesperstraat 394-396 1018 DN Amsterdam The Netherlands
2864,Office Baarn Bitonic B.V. Oude Utrechtseweg 17C 3743 KN  Baarn The Netherlands
2875,Эстония
2877,"150 n. Riverside Plaza Suite, 2800 Chicago IL, 60606  Источник: https://otziv-broker.com/kriptobirzhi-black-list/obzor-moshennicheskoj-birzhi-cryptobravos-dostovernye-otzyvy-obmanutyh-klientov © otziv-broker.com"
2879,Кипр
2881,Сингапур
2883,"Ternion OÜ, Roosikrantsitn 2, Kesklinnalinnaosa, Tallinn, Harju maakond, 10119"
2890,Россия
2894,"32 Topaz House 6 Merrivale Mews, Milton Keynes, England, MK9 2FE"
2896,"Narva mnt 7, Kesklinna linnaosa, Tallinn, Harju maakond, 10117"
2899,"Roosikrantsi tn 2, Kesklinna Linnaosa, Tallinn, Harju Maakond, 10119"
2912,"145-157 St John Street London EC1V 4PW, United Kingdom"
2912,"Сулимовка 6, Сочи, Роза Хутор"
2912," Москва, ул. Рочдельская, д. 15, стр. 43"
2917,"пр-т. С. Бандери, 16-Б, Київ, 04076, Україна"
2921,"г. Киев, ул. Кожемяцкая 12Г, оф №6"
2927,"225 The East Mall, Suite 1117, Toronto, ON, M9B 0A9, Canada"
2931,"г. Москва, ул. Бутырский Вал, д. 10"
2933,"Unit 1213, 12/F, Wing On Plaza, 62 Mody Road, Tsim Sha Tsui East, Kowloon, Hong Kong"
2935,"Afon Building, Worthing Road, Horsham, West Sussex, RH12 1TL, United Kingdom"
2937,"7 Floor, 25-27 Canada Square, London E14 5LQ, United Kingdom"
3366,"115035, г. Москва, а/я 57, ООО НКО «ЮМани»"
3566,"Tallinn, 26 Majaka Street 11411, Estonia"
3572," Гонконг, КНР"
390,www.luxoft-training.ru
974,"ул. Дибенко, 1-А, г. Севастополь, 99035"
1025,"просп. Центральный, 59-а, г. Северодонецк, 93400"
1033,"ул. Степана Бандеры, 12, г. Львов, 79013"
1034,"ул. Хмельницкое шоссе, 95, г. Винница, 21021"
1035,"ул. Кузнечная, 1, г. Одесса, 65029"
1036,"ул. Г. Кондратьева, 160, г. Сумы, 40021"
1037,"ул. Римского-Корсакова, 2, г. Сумы, 40007"
1038,"ул. Немировича-Данченко, 2, г. Киев, 01011"
1039,"просп. Воздухофлотский, 31, г. Киев, 03037"
1041,"ул. Кирилловская, 9, г. Киев"
1042,"просп. Гагарина, 8, г. Днепр, 49005"
1044,"ул. Чудновская, 103, г. Житомир, 10005"
1047,"ул. Соломянская, 7, г. Киев, 03680"
1049,"ул. Днепростроевская, 2, г. Каменское, 51918"
1051,"ул. Лазаряна, 2, г. Днепропетровск, 49010"
1053,"просп. Гагарина, 72, г. Днепр, 49010"
1055,"ул. Шкадинова, 72, г. Краматорск, Донецкая обл., 84313"
1057,"просп. Победы, 84, г. Лисичанск, Луганская обл., 94204"
1059,"ул. Артема, 184, г. Донецк, 83018"
1061,"просп. Мира, 22, корп. ЖВИ, г. Житомир, 10004"
1063,"л. Карпатская, 15, г. Ивано-Франковск, 76019"
1065,"ул. Владимирская, 60, г. Киев, 01033"
1067,"просп. Университетский, 8, г. Кировоград, 25006"
1069,"ул. Октябрьская, 1, г. Краснодон"
1071,"ул. Виталия Матусевича, 11, комн. 228, г. Кривой Рог, 50027"
1073,"ул. Львовская, 75, г. Луцк, 43018"
1075,"ул. Владимира Великого, 1, г. Дубляны, Львовская обл., 80381"
1077,"просп. Гагарина, 4, г. Днепр, 49005"
1079,"просп. Космонавта Комарова, 1, г. Киев, 03058"
1081,"ул. Чкалова, 17, г. Харьков, 61070"
1083,"ул. Генерала Чупринки, 103, г. Львов, 79057"
1085,"просп. Д. Яворницкого, 19 г. Днепр, 49005"
1087,"ул. Кирпичёва, 2, г. Харьков, 61002"
1089,"просп. Победы, 37, г. Киев, 03056"
1091,"ул. Дидрихсона, 8, г. Одесса, 65029"
1093,"ул. Жуковского, 64, г. Запорожье, 69063"
1095,"пр. Первомайский , 24, г. Полтава, 36011"
1097,"ул. Героев Обороны, 15, г. Киев, 03041"
1099,"ул. Соборная, 11, г. Ровно, 33028"
1101,"пр. Героев Украины, 9, г. Николаев, 54025"
1103,"ул. Владимирская, 68, г. Киев, 01033"
1105,"ул. Георгия Гонгадзе, 9, г. Николаев, 54010"
1107,"ул. Кузнечная, 15, г. Одесса"
1109,"ул. Канатная, 112, г. Одесса, 65039"
1111,"ул. Мечникова, 34, г. Одесса, 65029"
1113,"	ул. Университетская, 7, г. Мариуполь, Донецкая обл., 87500"
1115,"ул. Чернышевского, 24-а, г. Днепропетровск, 49600"
1117,"ул. Курчатова, 7, г. Севастополь, 99033"
1119,"просп. Б. Хмельницкого, 18, г. Мелитополь, Запорожская обл., 72310"
1121,"ул. Руська, 56, г. Тернополь, 46001"
1123,"ул. Университетская, 14, г. Ужгород, 88000"
1125,"ул. Под Голоском, 19, г. Львов, 79020"
1127,"ул. Университетская, 16, г. Харьков, 61003"
1129,"пл. Фейербаха, 7, г. Харьков, 61050"
1132,"ул. Ярослава Мудрого, 25, г. Харьков, 61002"
1134,"ул. Алчевских, 44, г. Харьков, 61002"
1136,"ул. Сумская, 77/79, г. Харьков, 61023"
1138,"ул. Маршала Бажанова, 17, г. Харьков, 61002"
1140,"просп. Науки, 14, г. Харьков, 61166"
1142,"ул. Сумская, 40, г. Харьков, 61002"
1144,"пр. Ушакова, 20, г. Херсон, 73000"
1146,"Бериславское шоссе, 24, г. Херсон, 73008"
1148,"просп. Ушакова, 44, г. Херсон, 73022"
1150,"ул. Институтская, 11, г. Хмельницкий, 29016"
1152,"бульв. Шевченко, 460, г. Черкассы, 18006"
1155,"бульв. Шевченко, 81, г. Черкасси, 18031"
1157,"ул. Коцюбинского, 2, г. Черновцы, 58012"
1159,"ул. 68 Десантников, 10, г. Николаев, 54003"
1161,"ул. Институтская, 1, г. Шостка, 41100"
1164,"	ул. Добровольского, 1, г. Кропивницкий, 25005"
1166,"ул. Академическая, 20, г. Бережани, Тернопольская обл., 47501"
1168,"ул. Шевченко, 10, г. Нежин, Черниговская обл., 16600"
1170,"ул. Пантелеймоновская, 13, г. Одесса, 65012"
1172,"	ул. Львовская, 15, г. Одесса, 65016"
1174,"ул. Шевченко, 13, г. Каменец-Подольский, Хмельницкая обл., 32300"
1176,"ул. Сковороды, 1/3, г. Полтава, 36003"
1178,"ул. Институтская, 1, г. Умань, 20305"
1180,"пер. Машиностроительный, 28, г. Киев, 03067"
1182,"ул. Академическая, 1, пгт. Малая Даниловка, Дергачевский район, Харьковская обл., 62341"
1184,"п/о «Коммунист-1», Харьковский район, Харьковская обл., 62483"
1186,"ул. Стретинская, 23, г. Херсон, 73006"
1188,"ул. Научный городок, 59, г. Запорожье, 69017"
1190,"ул. Шевченко, 95, г. Чернигов, 14035"
1192,"пгт. Аграрное, г. Симферополь, 95492"
1194,"пр. Советский, 59-А, г. Северодонецк, Луганская обл., 93400"
1196,"ул. Алчевских, 29, г. Харьков, 61002"
1199,"пл. Свободы, 4, г. Харьков, 61077"
1202,"ул. 40 лет Октября (Университетская), 27, г. Херсон, 73000"
1205,"ул. Свободы, 36, г. Хмельницкий, 29001"
1208,"пер. Магнитогорский, 3, г. Киев"
1210,"бульв. Академика Вернадского, 16-в, г. Киев, 03115"
1212,"пл. Соборная, 8/1, г. Белая Церковь, Киевская обл., 09117"
1214,"ул. Острожского, 32, г. Винница, 21100"
1216,"вул. Шевченка, 57, м. Івано-Франківськ, 76018"
1219,"ул. Солнечная, 3, г. Винница, 21008"
1221,"просп. Воли, 13, г. Луцк, 43025"
1271,"ул. Сергея Ефремова, 25, г. Днепр, 49600"
1274,"ул. Киево-Московская, 24, г. Глухов, Сумская обл., 41400"
1276,"ул. Кирова, 51, г. Горловка, Донецкая обл., 84646"
1278,"ул. Лазо, 14, г. Краматорск, 84333"
1280,"бул. Машиностроителей, 32, г. Краматорск, Донецкая обл."
1282,"просп. Мира, 56, г. Донецк"
1284,"ул. 600-летия, 21, г. Винница, 21027"
1286,"ул. Ивана Франко, 24, г. Дрогобыч, Львовская обл., 82100"
1288,"ул. Большая Бердичевская, 40, г. Житомир, 10008"
1290,"бульв. Старый, 7, г. Житомир, 10008"
1292,"пл. Кошута, 6, г. Береговое, Закарпатская обл., 90202"
1294,"ул. Жуковского, 66, г. Запорожье, 69600"
1296,"ул. Репина, 12, г. Измаил, Одесская обл., 68610"
1298,"ул. Ленина, 31, г. Рубежное, Луганская обл., 93009"
1300,"ул. Огиенка, 61, г. Каменец-Подольский, Хмельницкая обл., 32300"
1302,"ул. Орджоникидзе, 82, г. Керчь, АР Крым, 98309"
1304,"просп. Ломоносова, 157, г. Константиновка, 85110"
1322,"вул. Кіото, 19, м. Київ, 02156"
1329,"пер. Отакара Яроша, 8, г. Харьков, 61045"
1333,"пр. Победы, 55, г. Харьков, 61174"
1335,"просп. Науки, 9-а, г. Харьков, 61166"
1337,"ул. Маломясницкая, 9/11, г. Харьков"
1339,"ул. Полтавский шлях, 192, г. Харьков, 61098"
1342,"вул. Гвардійська, 32, м. Львів, 79012"
1345,"ул. Пирогова, 9, г. Киев, 01030"
1347,"вул. Університетська, 1, м. Львів, 79000"
1349,"вул. Є. Коновальця (вул. Щорса), 36, м. Київ, 01601"
1351,"вул. Велика Васильківська, 73, м. Київ, 03680"
1353,"вул. Степана Бандери, 12, м. Рівне, 33028"
1355,"вул. Городоцька, 26, м. Львів, 79009"
1357,"ул. Дзержинского, 9, г. Днепр, 49044"
1359,"вул. Фрометівська, 2, м. Київ, 03039"
1361,"майд. Волі, 1, м. Тернопіль, 46001"
1367,"пер. Валиховский, 2, г. Одесса, 65082"
1370,"ул. Конторская, 5, г. Харьков, 61052"
1371,"Вознесенский спуск, 20, г. Киев, 04053"
1373,"просп. Почтовый, 64, г. Кривой Рог, Днепропетровская обл., 50000"
1375,"вул. Березняківська, 26-б, м. Київ, 02152"
1377,"вул. В'ячеслава Чорновола, 164, м. Черкаси, 18028"
1379,"вул. Коритнянська, 4, м. Ужгород, 88000"
1381,"ул. Лаврская, 16, Киев, Украина"
1385,"ул. Семинарская, 2, г. Острог, Ровенская обл., 35800"
1387,"ул. Графская, 2, г. Нежин, Черниговская обл., 16600"
1389,"ул. Монастырская, 6, г. Полтава, 36000"
1391,"вул. Ліська, 16, м. Львів, 79018"
1393,"ул. Туган-Барановского, 10, г. Львов, 79005"
1395,"ул. Некрасова, 1, г. Бахмут"
1397,"ул. Галицкая, 2, г. Ивано-Франковск, 76018"
1399,"ул. Гончая, 34, г. Чернигов"
1401,"ул. Островского, 16, г. Макеевка, Донецкая обл., 86157"
1403,"ул. Соборная, 87, г. Винница, 21050"
1405,"просп. Дмитрия Яворницкого, 101, г. Днепр"
1407,"ул. Надежды Алексеенко, 21, г. Днепропетровск, 49000"
1410,"ул. Дмитриевская, 92-94, г. Киев, 01135"
1412,"ул. Садовая, 2, г. Умань, 20300"
1414,"бульв. Шевченко, 460, г. Черкассы, 1"
1416,"ул. Л. Толстого, 31, г. Киев, 01032"
1418,"ул. Черноморского казачества, 19, г. Одесса"
1420,"ул. Тургеневская, 8/14, оф. 1-4, г. Киев, 01601"
1424,"ул. Оноприенко, 8, г. Черкассы, 18034"
1426,"ул. Шевченко, 1, г. Кропивницкий, 25006"
1428,"ул. Ушинского, 15, г. Киев, 03151"
1430,"ул. Физкультуры, 1, г. Киев, 03150"
1432,"ул. Бульварно-Кудрявская, 18/2, г. Киев"
1434,"ул. Дидрихсона, 4, г. Одесса, 65029"
1436,"бульв. Шевченко, 13, г. Киев, 01601"
1438,"ул. Шкадинова, 72, г. Краматорск, Донецкая обл., 84313"
1442,"ул. Академическая, 2, г. Одесса, 65009"
1444,"ул. Львовская, 23, г. Киев, 04071"
1446,"ул. Сичеславская Набережная, 18, г. Днепр, 49000"
1448,"ул. Фонтанская дорога, 33, г. Одесса, 65009"
1450,"ул. Пушкинская, 77, г. Харьков, 61024"
1452,"просп. Победы, 54/1, г. Киев, 03680"
1454,"ул. Киото, 19, г. Киев, 02156"
1456,"ул. Пушкинская, 53, г. Харьков, 61002"
1458,"ул. Бориспольская, 2, г. Киев, 02099"
1460,"ул. Кирова, 27, г. Красный Лиман, 84404"
1462,"ул. Оборонная, 2, г. Луганск, 91011"
1464,"ул. Старопортофранковская, 26, г. Одесса, 65020"
1466,"просп. Гагарина, 26, г. Днепр, 49005"
1468,"ул. Фрометовская, 2, г. Киев, 03039"
1470,"просп. Науки, 4, г. Харьков, 61022"
1472,"ул. Дворянская, 2, г. Одесса, 65026"
1474,"ул. Ермоловой, 35, г. Днепр, 49033"
1479,"ул. Клочковская, 99, г. Харьков, 61022"
1481,"ул. Пирогова, 56, г. Винница, 21018"
1483,"просп. Л. Ландау, 27, г. Харьков"
1486,"ул. Шевченко, 23, г. Полтава, 36011"
1488,"пл. Защитников Украины, З, г. Харьков, 61001"
1490,"ул. Преображенская, 8, г. Одесса, 65082"
1492,"просп. Маяковского, 26, г. Запорожье, 69035"
1494,"ул. Чернышевская, 94, г. Харьков, 61023"
1496,"ул. Жуковского, 70-б, г. Запорожье, 69002"
1498,"ул. Г. Сковороды, 2, г. Киев, 04070"
1500,"ул. Генерала Батюка, 19, г. Славянск, 84116"
1502,"ул. Искусств, 8, г. Харьков, 61002"
1504,"Бурсацкий спуск, 4, г. Харьков, 61003"
1506,"ул. Шмідта, 4, г. Бердянск, Запорожская обл., 71100"
1508,"ул. Ивана Кудри, 33, 01042, г. Киев"
1511,"ул. Успенская, 1, г. Одесса, 65014"
1513,"ул. Степана Тильги, 21; ул. Содружества, 92-а, г. Кривой Рог, 50106"
1516,"бул. Ленина, 5/7, г. Симферополь, 95006"
1518,"ул. Гетманская, 20, г. Мелитополь, Запорожская обл., 72312"
1520,"пл. Конституции, 11/13, г. Харьков, 61003"
1522,"ул. Кузнечная, 1, г. Одесса, 65029"
1524,"ул. Клочковская, 333, г. Харьков, 61051"
1526,"просп. Строителей, 129-а, г. Мариуполь, Донецкая обл., 87500"
1528,"ул. В. Вернадского, 2/4, г. Днепр"
1530,"ул. Львовская, 49, г. Киев, 03179"
1532,"ул. Трамвайная, 16, г. Кривой Рог, обл. Днепропетровская, 50005"
1534,"ул. Университетская, 31, г. Ирпень, Киевская обл., 08201"
1536,"ул. Никольская, 24, г. Николаев, 54030"
1539,"просп. Гагарина, 54, г. Кривой Рог, Днепропетровская обл., 50086"
1541,"ул. Мельникова, 36/1, г. Киев, 04119"
1543,"ул. Гвардейская, 32, г. Львов, 79012"
1545,"ул. Суворова, 1, г. Киев, 01010"
1547,"ул. Табирна, 30-32, г. Киев, 03113"
1549,"ул. Лермонтовская, 27, г. Харьков, 61000"
1552,"ул. Кияшко, 16-б, г. Запорожье, 69041"
1554,"просп. Московский, 75, г. Харьков, 61001"
1556,"ул. Севастопольская, 17, корп. 4, г. Днепр"
1558,"ул. Челюскинцев, 163-а, г. Донецк, 83015"
1560,"ул. Карпинского, 58, г. Мариуполь, Донецкая обл."
1562,"пл. Шибанкова, 2, г. Красноармейск, Донецкая обл."
1564,"ул. Пекарская, 69, г. Львов, 79010"
1566,"бул. Адмиральский , 34, г. Феодосия, АР Крым, 98108"
1568,"ул. Василия Першина, 24, г. Бахмут, 84511"
1570,"пер. Руставели, 7, г. Харьков, 61001"
1572,"ул. Декабристов, 17, г. Николаев"
1574,"ул. Первомайская, 20, г. Кременчуг, 39614"
1576,"ул. Генерала Жмаченко, 26, г. Киев, 02192"
1578,"ул. 50-летия Обороны Луганска, 1-г, г. Луганск, 91045"
1580,"ул. Набережная Победы, 10, г. Днепр, 49094"
1582,"ул. Гетьмана Полуботка, 53, г. Чернигов, 14013"
1585,"пл. Театральная, 2, г. Черновцы, 58000"
1587,"ул. Леси Украинки, 34, г. Киев, 01133"
1589,"ул. Большая Васильковская, 73, г. Киев, 03680"
1591,"ул. E. Коновальца (ул. Щорса), 36, г. Киев, 01601"
1593,"ул. Котельная, 2, г. Николаев, 54003"
1595,"ул. Горького, 9-Д, г. Новая Каховка, Херсонская обл., 74990"
1597,"ул. Архитектора Городецкого, 1-3/11, г. Киев, 01001"
1599,"ул. Свободы, 117-а, г. Бердянск, Запорожская обл., 71118"
1602,"ул. Садовая, 3, г. Одесса, 65014"
1604,"пер. Звездный, 1/5, г. Киев, 04078"
1606,"ул. Генуэзская, 22, г. Одесса, 65009"
1609,"просп. Победы, 37, г. Киев, 03056"
1612,"ул. Слобожанская, 68, г. Старобельск"
1614,"пер. Учебный, 8, г. Симферополь, 95015"
1616,"ул. Ярославов вал, 40, г. Киев, 01054"
1618,"ул. Черноморская, 19, г. Мариуполь, Донецкая обл."
1621,"бул. Тараса Шевченко, 27, г. Киев, 01032"
1623,"ул. Бережанская, 5, г. Киев, 04074"
1625,"ул. Новосельского, 63, г. Одесса, 65023"
1627,"пр. Гагарина, 187, г. Харьков, 61080"
1630,"ул. Доброхотова, 7-а, г. Киев, 01001"
1632,"ул. Коваля, 3, г. Полтава, 36014"
1634,"ул. Роменская, 87, г. Сумы, 40002"
1636,"ул. Университетская, 33, г. Севастополь, 99033"
1638,"ул. Генерала Дидоренко, 4, г. Луганск, с. Юбилейное, 91493"
1640,"ул. Иллариона Свенцицкого, 17, г. Львов, 79011"
1642,"ул. Остроградского, 2, г. Полтава, 36003"
1644,"ул. Андреевская, 1, г. Киев, 04070"
1646,"ул. Фрометовская, 2, корп. 2, г. Киев"
1648,"с. Совхозное, ул. Южная, 39, г. Симферополь"
1650,"пл. Воли, 1, г. Тернополь, 46001"
1652,"ул. Московская, 45/1, г. Киев, 01011"
1656,"ул. Большая Васильковская, 57/3, г. Киев"
1659,"ул. Жилянская, 88, г. Киев"
1661,"ул. Тихвинская, 15, г. Кривой Рог"
1665,"ул. Щорса (ул. Коновальца), 36, г. Киев, 01601"
1667,"Кольцевая дорога, 3-а, г. Киев, 03187"
1671,"ул. Карбышева, 2, г. Луцк, 43023"
1673,"ул. Патриарха Мстислава Скрипника, 58, оф. 6, г. Киев"
1675,"ул. Гонты, 37, г. Винница"
1677,"ул. Героев АТО, 81-а, г. Кривой Рог"
1681,"ул. Университетская, 1, г. Львов, 79000"
1684,"ул. Степана Демьянчука, 4, г. Ровно"
1686,"ул. Костюшко, 11, г. Львов, 79000"
1688,"ул. Проскуровского Подполья, 139, г. Хмельницкий, 29013"
1691,"ул. Коновальца, 35, г. Ивано-Франковск, 76018"
1693,"ул. М. Кривоноса, 2, корп. 1, г. Тернополь, 46027"
1695,"ул. Клепаровская, 35, г. Львов, 79000"
1697,"ул. Под Голоском, 19, г. Львов, 79020"
1699,"ул. Львовская, 11, г. Тернополь, 46020"
